{snapshot: 19:43:43, data: ['52.97862', '40.5415', '29.62509', '357.56191', '12.79102', '131.93632', '0.04267', '0.21584', '0.93555']}\n
{snapshot: 19:43:44, data: ['52.92373', '41.71938', '29.62498', '357.61824', '12.77217', '131.96889', '0.04291', '0.21487', '0.93531']}\n
{snapshot: 19:43:45, data: ['53.08841', '40.77133', '29.62492', '357.63372', '12.79024', '132.029', '0.04316', '0.21487', '0.93555']}\n
{snapshot: 19:43:46, data: ['52.97862', '40.98839', '29.62422', '357.66066', '12.74256', '132.07459', '0.04388', '0.21487', '0.93336']}\n
{snapshot: 19:43:46, data: ['53.08841', '40.99158', '29.62428', '357.66147', '12.67544', '132.14558', '0.04291', '0.21463', '0.93482']}\n
{snapshot: 19:43:47, data: ['53.01522', '41.82153', '29.62462', '357.74682', '12.65565', '132.1695', '0.04219', '0.2156', '0.93701']}\n
{snapshot: 19:43:48, data: ['53.1067', '41.17673', '29.62508', '357.75233', '12.61935', '132.16641', '0.04364', '0.21633', '0.93628']}\n
{snapshot: 19:43:49, data: ['53.19819', '41.31399', '29.62513', '357.77867', '12.64433', '132.18182', '0.0434', '0.21487', '0.93287']}\n
{snapshot: 19:43:49, data: ['53.07011', '41.24057', '29.62492', '357.7209', '12.65504', '132.19598', '0.0434', '0.21439', '0.93287']}\n
{snapshot: 19:43:50, data: ['53.07011', '41.46402', '29.6239', '357.69691', '12.67119', '132.1636', '0.04073', '0.21633', '0.93214']}\n
{snapshot: 19:43:51, data: ['52.96032', '41.6332', '29.6239', '357.68872', '12.66399', '132.07706', '0.04291', '0.21536', '0.93385']}\n
{snapshot: 19:43:51, data: ['53.05181', '41.39379', '29.62438', '357.69334', '12.62992', '132.02105', '0.04243', '0.2156', '0.93238']}\n
{snapshot: 19:43:52, data: ['53.01522', '41.69066', '29.62387', '357.69704', '12.60239', '132.01372', '0.04267', '0.2156', '0.93312']}\n
{snapshot: 19:43:53, data: ['52.94203', '41.60128', '29.6239', '357.67774', '12.54421', '132.14088', '0.04388', '0.21657', '0.93238']}\n
{snapshot: 19:43:54, data: ['52.72246', '39.33169', '29.62369', '357.70358', '12.55624', '132.20208', '0.04219', '0.21681', '0.9319']}\n
{snapshot: 19:43:54, data: ['52.88713', '41.52148', '29.62356', '357.68678', '12.58511', '132.2587', '0.04291', '0.21633', '0.93385']}\n
{snapshot: 19:43:55, data: ['52.88713', '41.50552', '29.62453', '357.66872', '12.61448', '132.23846', '0.04291', '0.21657', '0.93238']}\n
{snapshot: 19:43:56, data: ['52.88713', '41.20226', '29.62444', '357.62877', '12.59804', '132.24996', '0.04219', '0.21536', '0.93238']}\n
{snapshot: 19:43:56, data: ['52.83224', '41.7545', '29.62406', '357.62148', '12.59609', '132.28738', '0.04267', '0.21609', '0.92946']}\n
{snapshot: 19:43:57, data: ['52.74076', '42.11521', '29.62401', '357.57784', '12.58073', '132.27965', '0.04437', '0.21584', '0.93043']}\n
{snapshot: 19:43:58, data: ['52.86884', '41.81196', '29.62435', '357.57999', '12.59104', '132.28724', '0.04291', '0.21609', '0.92995']}\n
{snapshot: 19:43:59, data: ['52.70416', '41.53105', '29.6246', '357.61995', '12.59879', '132.3153', '0.04194', '0.21463', '0.92922']}\n
{snapshot: 19:43:59, data: ['52.75905', '41.43848', '29.62371', '357.63377', '12.49053', '132.33329', '0.04219', '0.2156', '0.93019']}\n
{snapshot: 19:44:00, data: ['52.81395', '41.24376', '29.62338', '357.62937', '12.5386', '132.35857', '0.04243', '0.21609', '0.93336']}\n
{snapshot: 19:44:01, data: ['52.61267', '41.46082', '29.6239', '357.57977', '12.55678', '132.28895', '0.04267', '0.21536', '0.93263']}\n
{snapshot: 19:44:01, data: ['52.66757', '41.57255', '29.62368', '357.62953', '12.59239', '132.24118', '0.04267', '0.21439', '0.93263']}\n
{snapshot: 19:44:02, data: ['52.79565', '41.54701', '29.62372', '357.63171', '12.62144', '132.25282', '0.04413', '0.2156', '0.9336']}\n
