\n
{snapshot: 16:35:23, data: ['55.85131', '30.04904', '29.56531', '357.4712', '12.59312', '133.68849', '0.04', '0.22094', '0.93214']}\n
{snapshot: 16:35:24, data: ['55.75982', '28.64771', '29.56513', '357.47909', '12.58196', '133.61497', '0.03831', '0.22167', '0.93165']}\n
{snapshot: 16:35:24, data: ['55.81471', '28.69559', '29.56539', '357.53372', '12.59805', '133.5758', '0.04', '0.22216', '0.93043']}\n
{snapshot: 16:35:25, data: ['55.9428', '28.59983', '29.56587', '357.51146', '12.56677', '133.55589', '0.03903', '0.2224', '0.9319']}\n
{snapshot: 16:35:26, data: ['55.75982', '28.88073', '29.56585', '357.50594', '12.56664', '133.52622', '0.03976', '0.22191', '0.93312']}\n
{snapshot: 16:35:26, data: ['55.85131', '28.56152', '29.56499', '357.50699', '12.57939', '133.4608', '0.03976', '0.22143', '0.93312']}\n
{snapshot: 16:35:27, data: ['55.96109', '24.52032', '29.56476', '357.48232', '12.58842', '133.41511', '0.03976', '0.2224', '0.93385']}\n
{snapshot: 16:35:28, data: ['55.9062', '28.52002', '29.56461', '357.49228', '12.53376', '133.37899', '0.04', '0.22143', '0.93312']}\n
{snapshot: 16:35:29, data: ['55.85131', '28.82008', '29.56461', '357.52007', '12.54312', '133.37013', '0.03952', '0.2224', '0.93409']}\n
{snapshot: 16:35:29, data: ['55.9245', '28.2487', '29.56512', '357.57976', '12.60467', '133.37575', '0.04049', '0.22118', '0.93409']}\n
{snapshot: 16:35:30, data: ['55.9062', '27.58474', '29.56448', '357.59848', '12.64306', '133.46056', '0.04049', '0.22118', '0.93531']}\n
{snapshot: 16:35:31, data: ['55.83301', '30.17354', '29.56437', '357.61567', '12.70897', '133.46106', '0.03928', '0.22167', '0.93263']}\n
{snapshot: 16:35:31, data: ['55.9245', '28.89031', '29.56548', '357.58694', '12.71539', '133.48821', '0.03928', '0.22191', '0.93433']}\n
{snapshot: 16:35:32, data: ['55.85131', '29.14887', '29.56543', '357.63081', '12.66091', '133.54119', '0.03976', '0.22191', '0.93409']}\n
{snapshot: 16:35:33, data: ['55.9428', '28.66367', '29.56518', '357.65069', '12.66116', '133.60249', '0.04073', '0.22191', '0.92995']}\n
{snapshot: 16:35:33, data: ['55.85131', '28.01567', '29.56587', '357.60242', '12.69644', '133.6582', '0.03855', '0.22046', '0.92995']}\n
{snapshot: 16:35:34, data: ['55.85131', '28.58068', '29.5655', '357.61486', '12.62867', '133.74102', '0.04025', '0.22167', '0.93263']}\n
{snapshot: 16:35:35, data: ['55.85131', '28.05398', '29.56515', '357.64282', '12.64196', '133.76028', '0.04025', '0.22118', '0.9319']}\n
{snapshot: 16:35:36, data: ['55.9428', '28.287', '29.56497', '357.64432', '12.62811', '133.75034', '0.04025', '0.22094', '0.93409']}\n
{snapshot: 16:35:36, data: ['55.96109', '28.41149', '29.56595', '357.62897', '12.60938', '133.79566', '0.03928', '0.22118', '0.93312']}\n
{snapshot: 16:35:37, data: ['55.86961', '28.11782', '29.56646', '357.64193', '12.58078', '133.81675', '0.03952', '0.22216', '0.93141']}\n
{snapshot: 16:35:38, data: ['55.81471', '28.65729', '29.56594', '357.65565', '12.59284', '133.84742', '0.03879', '0.22143', '0.9297']}\n
{snapshot: 16:35:38, data: ['55.70493', '27.91033', '29.56595', '357.6641', '12.53064', '133.92998', '0.04', '0.22216', '0.93141']}\n
{snapshot: 16:35:39, data: ['55.66834', '28.71155', '29.56605', '357.6511', '12.53593', '134.00578', '0.04146', '0.22167', '0.92922']}\n
{snapshot: 16:35:40, data: ['55.77812', '28.17528', '29.56569', '357.63226', '12.52565', '134.06935', '0.04049', '0.22167', '0.92922']}\n
