{snapshot: 22:41:14, data: ['48.47747', '38.37086', '29.84825', '359.21455', '4.03797', '177.95343', '0.01382', '0.08983', '0.94944']}\n
{snapshot: 22:41:15, data: ['48.55066', '37.88247', '29.84889', '359.23105', '4.07156', '177.92912', '0.01455', '0.09008', '0.94993']}\n
{snapshot: 22:41:15, data: ['48.45917', '38.57835', '29.84877', '359.2463', '4.11041', '177.90823', '0.01406', '0.0891', '0.9492']}\n
{snapshot: 22:41:16, data: ['48.51406', '38.66135', '29.84852', '359.27543', '4.08553', '177.92893', '0.01236', '0.09008', '0.95139']}\n
{snapshot: 22:41:17, data: ['48.51406', '38.99652', '29.84853', '359.30733', '4.0881', '177.93364', '0.0143', '0.09032', '0.95139']}\n
{snapshot: 22:41:18, data: ['48.53236', '38.39002', '29.84848', '359.31702', '4.09872', '177.95715', '0.01382', '0.09032', '0.94798']}\n
{snapshot: 22:41:18, data: ['48.44087', '37.63029', '29.84901', '359.32433', '4.01951', '177.95811', '0.0143', '0.08862', '0.94871']}\n
{snapshot: 22:41:19, data: ['48.44087', '38.51132', '29.84967', '359.31155', '4.03729', '177.94528', '0.01527', '0.08959', '0.94481']}\n
{snapshot: 22:41:20, data: ['48.56895', '38.38363', '29.84887', '359.25854', '4.05892', '177.91109', '0.01309', '0.09105', '0.94676']}\n
{snapshot: 22:41:21, data: ['48.56895', '38.50494', '29.84821', '359.2748', '4.04256', '177.86711', '0.01333', '0.08959', '0.94652']}\n
{snapshot: 22:41:22, data: ['48.56895', '38.48578', '29.84773', '359.31423', '4.09538', '177.81884', '0.01285', '0.0908', '0.94701']}\n
{snapshot: 22:41:22, data: ['48.47747', '36.95995', '29.84804', '359.32257', '4.03019', '177.7235', '0.01333', '0.09105', '0.94969']}\n
{snapshot: 22:41:23, data: ['48.55066', '38.73158', '29.84797', '359.33041', '4.0603', '177.68947', '0.0143', '0.0908', '0.94944']}\n
{snapshot: 22:41:24, data: ['48.53236', '38.52409', '29.84778', '359.34403', '4.05793', '177.69476', '0.01091', '0.09032', '0.94896']}\n
{snapshot: 22:41:25, data: ['48.49576', '39.287', '29.8484', '359.31298', '4.01475', '177.68382', '0.01309', '0.09105', '0.9492']}\n
{snapshot: 22:41:25, data: ['48.45917', '38.3964', '29.8484', '359.31379', '3.92889', '177.71177', '0.01406', '0.08959', '0.95091']}\n
{snapshot: 22:41:26, data: ['48.51406', '36.82908', '29.84828', '359.3196', '4.03816', '177.75065', '0.01406', '0.09032', '0.94993']}\n
{snapshot: 22:41:27, data: ['48.51406', '38.5209', '29.84809', '359.33556', '4.0354', '177.80672', '0.01382', '0.09008', '0.94993']}\n
{snapshot: 22:41:28, data: ['48.42257', '38.57197', '29.84812', '359.30976', '4.12772', '177.76797', '0.01236', '0.09008', '0.94871']}\n
{snapshot: 22:41:28, data: ['48.69703', '38.73796', '29.84808', '359.28055', '4.14157', '177.74106', '0.01285', '0.08935', '0.94969']}\n
{snapshot: 22:41:29, data: ['48.58725', '38.53685', '29.84723', '359.30996', '4.12045', '177.75398', '0.01527', '0.08935', '0.94993']}\n
{snapshot: 22:41:30, data: ['48.66044', '38.24957', '29.84769', '359.33306', '4.06641', '177.71782', '0.01576', '0.08983', '0.94701']}\n
{snapshot: 22:41:31, data: ['48.51406', '38.43471', '29.84798', '359.26103', '4.08572', '177.77357', '0.01382', '0.09032', '0.94944']}\n
{snapshot: 22:41:31, data: ['48.56895', '38.65496', '29.84741', '359.24574', '4.14282', '177.81396', '0.01358', '0.0891', '0.94896']}\n
{snapshot: 22:41:32, data: ['48.53236', '38.72838', '29.84781', '359.26002', '4.1687', '177.85184', '0.01358', '0.09056', '0.95164']}\n
{snapshot: 22:41:33, data: ['48.53236', '39.00928', '29.84878', '359.28628', '4.10636', '177.83806', '0.01236', '0.08983', '0.95164']}\n
{snapshot: 22:41:34, data: ['48.49576', '38.722', '29.84828', '359.27395', '4.04946', '177.85724', '0.01309', '0.0891', '0.95042']}\n
{snapshot: 22:41:34, data: ['48.53236', '40.49681', '29.84776', '359.28098', '4.0559', '177.88293', '0.01358', '0.09056', '0.95261']}\n
{snapshot: 22:41:35, data: ['48.38598', '38.98694', '29.84804', '359.29857', '4.00331', '177.90513', '0.01382', '0.09032', '0.95261']}\n
{snapshot: 22:41:36, data: ['48.80682', '34.62971', '29.84877', '359.31454', '3.97226', '177.89034', '0.01309', '0.08959', '0.95164']}\n
{snapshot: 22:41:37, data: ['48.51406', '38.49216', '29.84862', '359.32216', '3.95109', '177.83914', '0.0143', '0.0891', '0.95188']}\n
{snapshot: 22:41:37, data: ['48.64214', '38.79542', '29.84812', '359.31704', '3.98189', '177.88087', '0.01455', '0.08935', '0.95115']}\n
{snapshot: 22:41:38, data: ['48.71533', '38.91352', '29.8476', '359.32328', '4.02379', '177.92331', '0.01406', '0.08983', '0.95164']}\n
{snapshot: 22:41:39, data: ['48.66044', '38.82734', '29.84799', '359.30118', '4.0138', '177.92927', '0.01333', '0.09032', '0.95285']}\n
{snapshot: 22:41:40, data: ['48.49576', '42.53656', '29.84754', '359.30614', '3.99065', '177.9259', '0.01358', '0.09105', '0.95066']}\n
{snapshot: 22:41:40, data: ['48.58725', '38.65496', '29.84749', '359.2739', '4.00271', '177.98738', '0.01236', '0.08886', '0.95188']}\n
{snapshot: 22:41:41, data: ['48.71533', '38.69965', '29.84789', '359.29744', '4.00833', '178.0212', '0.01503', '0.09008', '0.94944']}\n
{snapshot: 22:41:42, data: ['48.56895', '40.13291', '29.84809', '359.30427', '3.98294', '177.97823', '0.01285', '0.08983', '0.95407']}\n
{snapshot: 22:41:43, data: ['48.66044', '42.45676', '29.84843', '359.29875', '4.03412', '177.87945', '0.01358', '0.08935', '0.9531']}\n
{snapshot: 22:41:43, data: ['48.64214', '38.5592', '29.84933', '359.2791', '4.03063', '177.87235', '0.01527', '0.08983', '0.95164']}\n
{snapshot: 22:41:44, data: ['48.64214', '37.67499', '29.84904', '359.25833', '4.00705', '177.76563', '0.01479', '0.08983', '0.95188']}\n
{snapshot: 22:41:45, data: ['48.62384', '38.6422', '29.8488', '359.25278', '4.04431', '177.74432', '0.01406', '0.08983', '0.94944']}\n
{snapshot: 22:41:46, data: ['48.73363', '38.64858', '29.84931', '359.24252', '4.0833', '177.77734', '0.01455', '0.09008', '0.95066']}\n
{snapshot: 22:41:46, data: ['48.67874', '38.58154', '29.84915', '359.23732', '4.09845', '177.80129', '0.01455', '0.08886', '0.95164']}\n
{snapshot: 22:41:47, data: ['48.71533', '38.45705', '29.84853', '359.2293', '4.07819', '177.79486', '0.01382', '0.09032', '0.95139']}\n
{snapshot: 22:41:48, data: ['48.64214', '38.56239', '29.84849', '359.24226', '4.08937', '177.76894', '0.0143', '0.08959', '0.95212']}\n
{snapshot: 22:41:49, data: ['48.67874', '38.62304', '29.84871', '359.21886', '4.08975', '177.80379', '0.01552', '0.08838', '0.94822']}\n
