\n
{snapshot: 00:04:13, data: ['56.72958', '38.63262', '29.81604', '3.2542', '4.72154', '182.6455', '-0.05504', '0.07405', '0.95895']}\n
{snapshot: 00:04:13, data: ['56.71129', '38.5592', '29.81646', '3.26207', '4.78068', '182.69069', '-0.0543', '0.07648', '0.95895']}\n
{snapshot: 00:04:14, data: ['56.65639', '38.55601', '29.81687', '3.23774', '4.81684', '182.6758', '-0.05504', '0.07357', '0.96065']}\n
{snapshot: 00:04:15, data: ['56.6381', '38.50813', '29.81722', '3.19324', '4.77808', '182.64545', '-0.05578', '0.07551', '0.96065']}\n
{snapshot: 00:04:16, data: ['56.71129', '38.79222', '29.81724', '3.16694', '4.7957', '182.60746', '-0.05628', '0.07162', '0.96212']}\n
{snapshot: 00:04:17, data: ['56.82107', '38.83053', '29.81753', '3.21967', '4.70544', '182.54279', '-0.05529', '0.07405', '0.95627']}\n
{snapshot: 00:04:18, data: ['56.74788', '38.87202', '29.8171', '3.22777', '4.63833', '182.57745', '-0.05776', '0.07211', '0.9587']}\n
{snapshot: 00:04:18, data: ['56.72958', '38.50494', '29.81714', '3.24739', '4.65126', '182.63694', '-0.05751', '0.07332', '0.96065']}\n
{snapshot: 00:04:19, data: ['56.85767', '41.1065', '29.81793', '3.2002', '4.63836', '182.68804', '-0.05554', '0.07429', '0.95675']}\n
{snapshot: 00:04:20, data: ['56.58321', '35.74376', '29.81775', '3.17133', '4.63306', '182.72452', '-0.05529', '0.07429', '0.96114']}\n
{snapshot: 00:04:21, data: ['56.74788', '37.61753', '29.81789', '3.16909', '4.71109', '182.77502', '-0.0543', '0.07478', '0.96138']}\n
{snapshot: 00:04:22, data: ['56.83937', '38.52409', '29.8182', '3.11729', '4.77246', '182.7493', '-0.05702', '0.07187', '0.95846']}\n
{snapshot: 00:04:22, data: ['56.83937', '38.59431', '29.81897', '3.15529', '4.74313', '182.77588', '-0.05628', '0.07332', '0.95529']}\n
{snapshot: 00:04:23, data: ['56.74788', '37.70691', '29.81842', '3.21184', '4.67507', '182.81987', '-0.05653', '0.07284', '0.95797']}\n
{snapshot: 00:04:24, data: ['56.69299', '38.51451', '29.81825', '3.25394', '4.65323', '182.88427', '-0.05529', '0.07357', '0.95675']}\n
{snapshot: 00:04:25, data: ['56.85767', '38.16657', '29.81795', '3.30604', '4.63628', '182.91639', '-0.05628', '0.07599', '0.95651']}\n
{snapshot: 00:04:26, data: ['56.85767', '38.37086', '29.81792', '3.2512', '4.572', '182.88621', '-0.0548', '0.07721', '0.96017']}\n
{snapshot: 00:04:26, data: ['56.83937', '38.44109', '29.81775', '3.2232', '4.57941', '182.92534', '-0.05702', '0.07332', '0.95748']}\n
{snapshot: 00:04:27, data: ['56.87596', '38.34214', '29.81794', '3.26477', '4.52002', '182.93453', '-0.05702', '0.07624', '0.95943']}\n
{snapshot: 00:04:28, data: ['56.93085', '38.32298', '29.81888', '3.27855', '4.46828', '182.9474', '-0.0548', '0.07332', '0.95919']}\n
{snapshot: 00:04:29, data: ['56.94915', '37.74521', '29.81788', '3.29352', '4.43761', '183.01793', '-0.05628', '0.07478', '0.95602']}\n
{snapshot: 00:04:30, data: ['56.87596', '38.20168', '29.81764', '3.29124', '4.39664', '183.0197', '-0.05356', '0.07575', '0.95456']}\n
{snapshot: 00:04:30, data: ['56.93085', '38.13784', '29.81793', '3.34283', '4.38202', '182.99999', '-0.05702', '0.07405', '0.9587']}\n
{snapshot: 00:04:31, data: ['57.09553', '39.74986', '29.81748', '3.30824', '4.36897', '182.97938', '-0.05554', '0.07381', '0.95602']}\n
{snapshot: 00:04:32, data: ['56.96745', '38.46982', '29.81777', '3.34741', '4.4056', '183.01683', '-0.05628', '0.07259', '0.95115']}\n
{snapshot: 00:04:33, data: ['56.94915', '37.09083', '29.81751', '3.3707', '4.36528', '183.03112', '-0.05628', '0.07211', '0.96041']}\n
{snapshot: 00:04:34, data: ['56.98575', '38.31341', '29.81739', '3.32591', '4.37676', '183.06243', '-0.05578', '0.07502', '0.957']}\n
{snapshot: 00:04:34, data: ['57.02234', '38.16976', '29.8183', '3.30448', '4.38809', '183.11702', '-0.05653', '0.07332', '0.96138']}\n
{snapshot: 00:04:35, data: ['56.87596', '38.34852', '29.81802', '3.31802', '4.40617', '183.20445', '-0.05381', '0.07405', '0.95602']}\n
{snapshot: 00:04:36, data: ['57.11383', '38.2336', '29.81779', '3.30434', '4.34048', '183.21068', '-0.05603', '0.07527', '0.95529']}\n
{snapshot: 00:04:37, data: ['57.02234', '38.1953', '29.81747', '3.31725', '4.32255', '183.23703', '-0.05578', '0.07405', '0.9609']}\n
{snapshot: 00:04:38, data: ['57.04064', '37.91439', '29.81681', '3.31513', '4.36876', '183.20099', '-0.05702', '0.07357', '0.95651']}\n
{snapshot: 00:04:39, data: ['57.00405', '38.13784', '29.81592', '3.3318', '4.42797', '183.1661', '-0.05233', '0.07284', '0.95748']}\n
{snapshot: 00:04:39, data: ['57.05894', '38.02931', '29.81589', '3.29733', '4.52207', '183.13401', '-0.05677', '0.07454', '0.95724']}\n
{snapshot: 00:04:40, data: ['56.96745', '38.40917', '29.81554', '3.27066', '4.48883', '183.15985', '-0.05406', '0.07551', '0.96138']}\n
{snapshot: 00:04:41, data: ['57.09553', '38.22084', '29.81549', '3.25486', '4.44428', '183.06695', '-0.05653', '0.07769', '0.95578']}\n
{snapshot: 00:04:42, data: ['57.07723', '38.3581', '29.81528', '3.24017', '4.46288', '183.0835', '-0.0543', '0.07721', '0.95992']}\n
{snapshot: 00:04:43, data: ['57.09553', '38.44748', '29.81499', '3.22986', '4.45225', '183.00264', '-0.05578', '0.07405', '0.95139']}\n
{snapshot: 00:04:43, data: ['57.22361', '38.23999', '29.81609', '3.27856', '4.50983', '182.98471', '-0.05282', '0.07599', '0.95822']}\n
{snapshot: 00:04:44, data: ['57.04064', '37.991', '29.8161', '3.26762', '4.49862', '182.9259', '-0.05455', '0.07915', '0.9626']}\n
{snapshot: 00:04:45, data: ['57.16872', '38.22403', '29.81577', '3.2717', '4.55474', '182.93474', '-0.05455', '0.07357', '0.95797']}\n
{snapshot: 00:04:46, data: ['57.16872', '37.65903', '29.81484', '3.25566', '4.5799', '182.91554', '-0.05603', '0.07697', '0.96333']}\n
{snapshot: 00:04:47, data: ['57.22361', '37.8729', '29.81568', '3.23444', '4.63478', '182.93281', '-0.05455', '0.07381', '0.96017']}\n
{snapshot: 00:04:47, data: ['57.18702', '35.2841', '29.81528', '3.18706', '4.60292', '182.98177', '-0.05554', '0.07454', '0.95383']}\n
{snapshot: 00:04:48, data: ['57.13213', '36.8195', '29.8148', '3.21185', '4.61454', '182.98973', '-0.05776', '0.07308', '0.96163']}\n
{snapshot: 00:04:49, data: ['57.15042', '37.90163', '29.81517', '3.28244', '4.59358', '182.96743', '-0.05603', '0.07138', '0.95773']}\n
{snapshot: 00:04:50, data: ['57.18702', '38.13146', '29.81474', '3.29681', '4.57142', '183.03674', '-0.05554', '0.07551', '0.95432']}\n
{snapshot: 00:04:51, data: ['57.20532', '38.17615', '29.81472', '3.28101', '4.51379', '183.10799', '-0.05529', '0.07332', '0.96041']}\n
{snapshot: 00:04:52, data: ['57.3151', '39.51683', '29.81346', '3.33569', '4.50349', '183.11927', '-0.05504', '0.07575', '0.95529']}\n
{snapshot: 00:04:52, data: ['57.24191', '37.49303', '29.81366', '3.26068', '4.61978', '183.15618', '-0.05307', '0.07697', '0.96041']}\n
{snapshot: 00:04:53, data: ['57.2968', '37.60795', '29.81391', '3.26514', '4.58981', '183.11246', '-0.0548', '0.07478', '0.95407']}\n
{snapshot: 00:04:54, data: ['57.27851', '37.9527', '29.81228', '3.29496', '4.62957', '183.05847', '-0.0548', '0.07478', '0.95919']}\n
{snapshot: 00:04:55, data: ['57.3151', '37.56007', '29.81296', '3.285', '4.68692', '182.98878', '-0.05406', '0.07405', '0.95407']}\n
{snapshot: 00:04:56, data: ['57.2968', '37.3462', '29.81368', '3.31071', '4.65872', '182.88354', '-0.0548', '0.07502', '0.96212']}\n
{snapshot: 00:04:56, data: ['57.22361', '37.86651', '29.81331', '3.36342', '4.66574', '182.87602', '-0.05628', '0.07624', '0.95578']}\n
{snapshot: 00:04:57, data: ['57.24191', '37.63029', '29.81279', '3.35961', '4.58471', '182.92692', '-0.05233', '0.07405', '0.95285']}\n
{snapshot: 00:04:58, data: ['57.26021', '37.94632', '29.81242', '3.3643', '4.62272', '182.86624', '-0.05554', '0.07478', '0.95359']}\n
{snapshot: 00:04:59, data: ['57.22361', '37.65903', '29.81247', '3.3734', '4.57688', '182.90537', '-0.05554', '0.07527', '0.95797']}\n
{snapshot: 00:05:00, data: ['57.38829', '34.60737', '29.81254', '3.3455', '4.61406', '182.87803', '-0.05578', '0.07284', '0.95846']}\n
{snapshot: 00:05:01, data: ['57.3151', '37.4675', '29.81201', '3.37151', '4.61854', '182.87052', '-0.05751', '0.07138', '0.95432']}\n
{snapshot: 00:05:01, data: ['57.3151', '37.85374', '29.812', '3.41515', '4.63221', '182.99166', '-0.05628', '0.07527', '0.95797']}\n
{snapshot: 00:05:02, data: ['57.27851', '37.63668', '29.81311', '3.41709', '4.68498', '183.01955', '-0.0543', '0.07454', '0.9587']}\n
{snapshot: 00:05:03, data: ['57.40659', '37.81863', '29.81296', '3.37349', '4.67165', '183.01031', '-0.05603', '0.07672', '0.95968']}\n
{snapshot: 00:05:04, data: ['57.38829', '37.53773', '29.81268', '3.38412', '4.62826', '182.97105', '-0.05727', '0.07332', '0.9609']}\n
{snapshot: 00:05:05, data: ['57.40659', '37.89843', '29.8127', '3.39077', '4.62606', '182.9322', '-0.05554', '0.07624', '0.9548']}\n
{snapshot: 00:05:05, data: ['57.26021', '37.48346', '29.81262', '3.3903', '4.59435', '182.98917', '-0.0543', '0.07769', '0.9609']}\n
{snapshot: 00:05:06, data: ['57.38829', '37.84098', '29.81249', '3.42266', '4.56986', '183.02688', '-0.05677', '0.07357', '0.95602']}\n
{snapshot: 00:05:07, data: ['57.36999', '37.70052', '29.81184', '3.44449', '4.57313', '183.01406', '-0.05653', '0.07381', '0.95407']}\n
{snapshot: 00:05:08, data: ['57.40659', '37.86651', '29.81106', '3.42383', '4.5997', '183.03134', '-0.05727', '0.07454', '0.95456']}\n
{snapshot: 00:05:09, data: ['57.44318', '37.97824', '29.8112', '3.37606', '4.63982', '183.11415', '-0.05529', '0.07429', '0.95334']}\n
{snapshot: 00:05:09, data: ['57.38829', '37.75479', '29.81197', '3.34715', '4.64447', '183.10639', '-0.05677', '0.07478', '0.95602']}\n
{snapshot: 00:05:10, data: ['57.40659', '35.7278', '29.81185', '3.30821', '4.67321', '183.11881', '-0.05875', '0.07332', '0.95992']}\n
{snapshot: 00:05:11, data: ['57.51637', '39.07313', '29.81226', '3.34366', '4.71771', '183.14334', '-0.05677', '0.07551', '0.95675']}\n
{snapshot: 00:05:12, data: ['57.47978', '36.00232', '29.8128', '3.35937', '4.7094', '183.12731', '-0.05727', '0.07599', '0.95992']}\n
{snapshot: 00:05:13, data: ['57.47978', '37.13552', '29.81337', '3.33393', '4.69319', '183.09191', '-0.0548', '0.07527', '0.95188']}\n
